Subject,age,Gender,Edinburgh Handedness Inventory (EHI),FunImg,T1Img,age_group
31578,37,1,,1,1,1
31579,20,1,,1,1,1
31580,23,0,,1,1,1
31581,25,0,,1,1,1
31582,21,0,,1,1,1
31583,35,1,,1,1,1
31584,66,1,,1,1,3
31585,22,0,,1,1,1
31586,48,0,,1,1,2
31587,22,1,,1,1,1
31588,20,0,,1,1,1
31589,21,0,,1,1,1
31590,23,1,,1,1,1
31591,21,1,,1,1,1
31592,20,0,,1,1,1
31593,19,0,,1,1,1
31594,20,0,,1,1,1
31595,21,0,,1,1,1
31596,24,0,,1,1,1
31597,24,0,,1,1,1
31598,39,0,,1,1,1
31599,57,0,,1,1,2
31600,22,1,,1,1,1
31601,23,0,,1,1,1
31602,23,1,,1,1,1
31603,23,0,,1,1,1
31604,23,0,,1,1,1
31605,23,0,,1,1,1
31606,23,0,,1,1,1
31607,22,1,,1,1,1
31608,22,0,,1,1,1
31609,24,0,,1,1,1
31610,24,1,,1,1,1
31611,19,0,,1,1,1
31612,23,0,,1,1,1
31613,21,1,,1,1,1
31614,26,0,,1,1,1
31615,23,0,,1,1,1
31616,22,0,,1,1,1
31617,23,0,,1,1,1
31618,23,0,,1,1,1
31619,23,0,,1,1,1
31620,23,0,,1,1,1
31621,24,1,,1,1,1
31622,25,0,,1,1,1
31623,25,1,,1,1,1
31624,23,0,,1,1,1
31625,48,0,,1,1,2
31626,26,0,,1,1,1
31627,47,0,,1,1,2
31628,22,0,,1,1,1
31629,21,0,,1,1,1
31630,23,0,,1,1,1
31631,24,0,,1,1,1
31632,24,0,,1,1,1
31633,54,0,,1,1,2
31634,38,0,,1,1,1
31635,58,1,,1,1,2
31636,53,1,,1,1,2
31637,48,1,,1,1,2
31638,46,0,,1,1,2
31639,42,0,,1,1,1
31640,60,1,,1,1,2
31641,57,1,,1,1,2
31642,56,1,,1,1,2
31643,57,1,,1,1,2
31644,35,1,,1,1,1
31645,64,0,,1,1,2
31646,61,1,,1,1,2
31647,36,0,,1,1,1
31648,49,1,,1,1,2
31649,59,1,,1,1,2
31650,59,0,,1,1,2
31651,34,1,,1,1,1
31652,42,0,,1,1,1
31653,34,1,,1,1,1
31654,34,0,,1,1,1
31655,40,0,,1,1,1
31656,34,0,,1,1,1
31657,34,0,,1,1,1
31658,53,1,,1,1,2
31659,65,1,,1,1,2
31660,42,0,,1,1,1
31661,59,1,,1,1,2
31662,44,0,,1,1,1
31663,48,0,,1,1,2
31664,61,1,,1,1,2
31665,39,0,,1,1,1
31666,52,0,,1,1,2
31667,54,0,,1,1,2
31668,40,0,,1,1,1
31669,61,0,,1,1,2
31670,60,1,,1,1,2
31671,45,0,,1,1,1
31672,53,1,,1,1,2
31673,37,0,,1,1,1
31674,37,0,,1,1,1
31675,45,0,,1,1,1
31676,33,0,,1,1,1
31677,54,1,,1,1,2
31678,35,1,,1,1,1
31679,50,1,,1,1,2
31680,33,1,,1,1,1
31681,49,0,,1,1,2
31682,44,0,,1,1,1
31683,54,1,,1,1,2
31684,59,1,,1,1,2
31685,60,1,,1,1,2
31686,60,0,,1,1,2
31687,42,1,,1,1,1
31688,34,0,,1,1,1
31689,53,1,,1,1,2
31690,33,0,,1,1,1
31691,44,1,,1,1,1
31692,35,0,,1,1,1
31693,34,1,,1,1,1
31694,32,0,,1,1,1
31695,56,0,,1,1,2
31696,40,1,,1,1,1
31697,55,0,,1,1,2
31698,57,0,,1,1,2
31699,58,1,,1,1,2
31700,46,0,,1,1,2
31701,60,1,,1,1,2
31702,43,0,,1,1,1
31703,60,1,,1,1,2
31704,42,1,,1,1,1
31705,58,1,,1,1,2
31706,60,0,,1,1,2
31707,53,0,,1,1,2
31708,58,0,,1,1,2
31709,59,0,,1,1,2
31710,60,0,,1,1,2
31711,56,0,,1,1,2
31712,60,0,,1,1,2
31713,54,1,,1,1,2
31714,24,1,100.0,1,1,1
31715,25,1,100.0,1,1,1
31716,24,0,,1,1,1
31717,24,0,100.0,1,1,1
31718,24,1,100.0,1,1,1
31719,24,0,100.0,1,1,1
31720,26,1,100.0,1,1,1
31721,24,0,70.0,1,1,1
31722,24,0,70.0,1,1,1
31723,25,0,0.0,1,1,1
31724,24,0,80.0,1,1,1
31725,24,0,100.0,1,1,1
31726,28,1,50.0,1,1,1
31727,24,0,60.0,1,1,1
31728,26,1,80.0,1,1,1
31729,30,1,100.0,1,1,1
31730,25,0,30.0,1,1,1
31731,24,0,-40.0,1,1,1
31732,24,0,,1,1,1
31733,25,0,60.0,1,1,1
31734,25,0,30.0,1,1,1
31735,24,0,60.0,1,1,1
31736,24,1,,1,1,1
31737,23,1,50.0,1,1,1
31738,24,1,60.0,1,1,1
31739,24,1,20.0,1,1,1
31740,26,0,70.0,1,1,1
31741,25,0,100.0,1,1,1
31742,23,0,,1,1,1
31743,27,0,60.0,1,1,1
31744,25,1,70.0,1,1,1
31745,25,0,,1,1,1
31746,25,1,,1,1,1
31747,25,1,70.0,1,1,1
31748,23,0,60.0,1,1,1
31749,23,0,,1,1,1
31750,26,0,100.0,1,1,1
31751,27,0,70.0,1,1,1
31752,34,1,,1,1,1
31753,28,0,,1,1,1
31754,27,1,100.0,1,1,1
31755,25,1,100.0,1,1,1
31756,24,1,90.0,1,1,1
31757,23,0,70.0,1,1,1
31758,24,1,60.0,1,1,1
31759,25,1,30.0,1,1,1
31760,23,1,,1,1,1
31761,22,0,90.0,1,1,1
31762,24,0,,1,1,1
31763,23,0,70.0,1,1,1
31764,24,0,100.0,1,1,1
31765,25,1,70.0,1,1,1
31766,24,1,80.0,1,1,1
31767,24,0,100.0,1,1,1
